"asistente","codigoAudiencia"
"Hernán Patricio Rebolledo Fernández","ab0103438861"
"Francisco Javier Chahuán Chahuán","ab0182902081"
"Percy Marín Vera","ab0182902081"
"Percy Marín Vera","ab0183030711"
"Jose Miguel Arellano Merino","ab0013104231"
"Bernardino Ricardo alfaro Aguilera","ab0093448581"
"Mario Edwin Morales Carceles","ab0163143091"
"José Bernardo Cornejo Cerón","ab0163143091"
"María Victoria Gazmuri Munita","ab0183011631"
"juan pablo espinosa","ab0313123881"
"gustavo eduardo quiroz rojas","ab0464249121"
"María Victoria Gazmuri Munita","ab0183011771"
"Carlos Ramirez","ab0193102371"
"Pablo Vargas","ab0922992261"
"René Silva Dodero","ad0222882511"
"Carlos Moreno Ortiz","ad0222882511"
"Martin Astorga Fourt","ad0223058531"
"Rene Onofre Figueroa","ad0223076921"
"Rodrigo Guzmán Le Roy","ad00939091"
"Nora Eliana Peiret Diaz","ad00939381"
"Luis Bernardino Rodriguez Lagos","ad00939581"
"Antonio Martínez Bousek","ad00940291"
"Suboficial Mayor Sergio Aguilera Peña","ad00940341"
"Jose Ignacio Quezada Velozo","ad00940431"
"Raúl Marquez","ad0132905631"
"Raúl Marquez","ad0133668601"
"Juan Pablo Reyes Capurro","ad0133668601"
"Eduardo Antonio Fernández Oñate","ab0532973931"
"Yasna Barra Mellao","ab0543001681"
"Isabel Mascaró Jory","ab0813033521"
"Virginia Margot Puentes Molina","ad00939011"
"Benjamín Errázuriz Palacios","ad00939251"
"Valeria Bustos","ad00939861"
"Paola Donoso Sánchez","ad00939861"
"Tte. Coronel Sr. Pablo Silva Chamorro","ad00939861"
"Arturo Luis Ewert Vásquez","ad00940471"
"Gonzalo Alberto Fernández De La Rosa","ad00940831"
"Sergio Morales Contreras","ad00940941"
"Mario Martínez Pedreros","ad00940941"
"María Berrios Antúnez","ad00941151"
"Claudio Riveros Romero","ad00941591"
"EDUARDO BARRIGA","ad0202888321"
"EDUARDO BARRIGA","ad0202891421"
"MONICA MARCELA OPAZO CORREA","ab0843433201"
"Julio Matta Díaz","ad0212990291"
"Juan Carlos Valenzuela Herrera","ad0233025871"
"Igor Concha Maass","ae0013000671"
"LUIS FERNANDEZ","ad0062913221"
"CHRISTIAN CONSOLO ARAVENA","ad0062885041"
"Josè Eduardo Riquelme Muñoz","ad0063067391"
"Juan Osvaldo Mora","ag0032989401"
"Matías Felipe Palau Guzmán","ag0032989401"
"Rodrigo del Carmen Tamblay Fabrega","ah0013044281"
"Marisol Bahamondez Millar","ah0013069211"
"Coronel Luis Alberto Soto Barrientos","ad00937591"
"Claudio Gómez Poblete","ad00938041"
"Herman Sánchez Gómez","ad00939671"
"Francisco Miranda Reinares","ad00940171"
"Roberto Olivares Cea","ad00941211"
"LUZ ALEJANDRA CAMPOS BENAVIDES","ad0122933481"
"Juan Pablo Reyes Capurro","ad0133017941"
"Rosa Marisol Vidal Salamanca","ag0013034511"
"Jeral Cancino Llanca","ag0013034511"
"Matías Felipe Palau Guzmán","ag0032918271"
"Rodrigo Hernández","ah0012973411"
"Jorge Lagos","ah0013039001"
"Andrea Bertoni","ah0013039001"
"CESAR VILLA","ah0022941951"
"LUIS GUAJARDO","ah0022941951"
"MIGUEL GONZALEZ","ah0022941951"
"Ruben Rojas","ah0022941951"
"Ximena Rojas Pacini","ah0043104501"
"Juan Bosco Martínez Fuentes","ah0072981291"
"Carla Paola Cifuentes Vladilo","ai0042920191"
"Alfonso Vial","ae0092971391"
"Antonio Luis Villalobos Castillo","ae0093045701"
"RODRIGO ANDRADE","ah0083105221"
"Rafael Patricio Gonzalez Iturra","ah0083105221"
"Gerardo Vergara Cañumir","aj0102927491"
"Jorge Palma Herrera","aj0102997881"
"Silvia Céspedes Gutiérrez","aj0103153851"
"Jorge Palma Herrera","aj0103153851"
"Daniel Alejandro Capurro Nario","ah0043077101"
"Oliver Ortiz","ah0043083741"
"Mauricio Marcos Mera","ai0072925921"
"Matías Felipe Palau Guzmán","ag0033011981"
"Matías Felipe Palau Guzmán","ag0034281721"
"Rodrigo del Carmen Tamblay Fabrega","ah0013044301"
"Esteban Lee","ah0043077281"
"JOSE LUIS CARRASCO","ai0083110101"
"Claudio González Diaz","aj0013147831"
"Ramon Vicencio","ae0072988861"
"Juana Reyes","aj0163005531"
"Marcelo Antonio Diaz Perez","ah0083086721"
"Eugenio Alejandro Velásquez Meza","aj0182926181"
"MARY PIROSKA ARANGUIZ","al0032903121"
"Maritza Soledad Juarez Pardo","al0072886631"
"Ricardo Contreras Herrera","al0013042861"
"Juan Miguel Saldias Lagos","ak0012943451"
"MARIO SEGUNDO TOBAR LOYOLA","ak0022974511"
"Jorge Poblete Escobedo","ak0042904201"
"Javiera Vergara","ak0042904201"
"Maria de la Luz Gonzalez","ak0042922531"
"Maria de la Luz Gonzalez","ak0042953611"
"Rachid Faruk Alay","ak0043027691"
"claudia mella perez","ak0043027691"
"Roboam Mauricio Díaz Núñez","al0072931531"
"LUIS LIZANA PIÑA","al0073212991"
"Mario Martinez Pedrero","aj0093095731"
"Fanny Araya Villalobos","aj0102983591"
"irma cortes pontigo","aj0102983591"
"Jorge Palma Herrera","aj0102997781"
"Guillermo Desiderio Ulloa Arriagada","aj0102997781"
"Silvia Céspedes Gutiérrez","aj0102997781"
"Luis Campillay Zamora","aj0103069191"
"Guillermo Aquiles Caro Molina","aj0113131571"
"adolfo alejandro garrido contreras","ak0023107501"
"Ivan Marcelo Alcayaga Villegas","aj0012904481"
"Nelson Massabó","al0092993831"
"Pamela Gana","al0093076461"
"Christian Carvacho","am0013003531"
"Nelson Patricio Barrera Rojas","al0092899061"
"Pamela Gana","al0093000601"
"Pamela Gana","al0093000611"
"Pamela Gana","al0093004641"
"Nuribeth Gonzalez","am0013011071"
"Sergio Jesús Lizana Valdenegro","ah0103068261"
"Mario Eduardo Leiva Fuentes","am0022897921"
"Mario Eduardo Leiva Fuentes","am0133166041"
"Diego Durán Jara","ah0122920901"
"Diego Durán Jara","ah0123057471"
"Matías Felipe Palau Guzmán","an0023049141"
"Miguel Cabrera","an0022920091"
"Rachid Faruk Alay","ak0042936321"
"MILTON RIVADENEIRA SOTOMAYOR","ak0042936321"
"Claudio Rafael Segovia Cofré","ak0042941551"
"Rachid Faruk Alay","ak0043030761"
"Rachid Faruk Alay","ak0043105531"
"Zenon Cardenas Daza","am0053046551"
"Maria Paz Quezada","am0063046801"
"Alejandra Sepúlveda","am0063080461"
"Williams Gajardo Collao","am0063119011"
"LUIS SALVADOR SALINAS LAZCANO","an0012908801"
"Juan Antonio Massai Quezada","an0012909541"
"Luis Eduardo González Brito","an0013084541"
"Rodrigo Hernández","an0013084711"
"Luis Eduardo González Brito","an0013132011"
"Mauricio Alarcón Guzmán","an0012984391"
"Víctor Eduardo González González","an0013005021"
"Gabriel Hernán Espoz Pinto","an0013005021"
"Pamela Del Carmen Aguirre Zapata","an0013049611"
"Mauricio Alarcón Guzmán","ao0012963571"
"Fabian Biderman","ao0013059621"
"Gisela Schaffer","ao0013110301"
"Gisela Schaffer","ao0013110731"
"SERGIO TORRES","ao0013118671"
"Pamela Gana","al0092983811"
"Pamela Gana","al0092985041"
"Marcos Gabriel Larenas Sepúlveda","al0092985041"
"Marcos Ilabaca Cerda","am0084036001"
"ELIZABETH OLGUIN","am0103086481"
"Dario Pareja Plaza","am0113166331"
"CRISTIAN MAXIMILIANO LIZAMA HERNANDEZ","am0013127151"
"Rachid Faruk Alay","ak0042929021"
"MILTON RIVADENEIRA SOTOMAYOR","ak0042929021"
"jose luis quiriban","am0063101651"
"Rodrigo Fariña Sirandoni","ao0013102091"
"Ricardo Alvarez","an0012896401"
"Rodrigo Hernández","an0012905411"
"Carlos Benjamin Delgadillo Delgadillo","an0013016951"
"Rodrigo Figueroa Cardenas","an0013030781"
"Paola Rios Brandau","an0013082761"
"CLAUDIO ANTONIO RIQUELME SILVA","an0013110531"
"Juan Cristi","an0023030921"
"fernando fabian saez alvarez","ao0052962381"
"MARCO ANTONIO CARMONA BAEZ","ao0052984301"
"VIRNA FREDES","ao0203139081"
"Edgardo Gonzalez Fuenzalida","ao0233096881"
"CRISTIAN ROJAS","ao0053079131"
"Carolina Villalobos","ao0253014051"
"Bernabe Tiburcio Huaiquillanca Peters","ao0343105071"
"Edgardo Gonzalez Fuenzalida","ao0233059851"
"Edgardo Gonzalez Fuenzalida","ao0233103931"
"Marcelo Barrios Lama","ao0062972531"
"Patricio Browne","ao0013114821"
"Martha Carolina Coletti Avilez","ao0013219001"
"MARIO ANGEL PIZZICARA","ao0033022101"
"MONICA BEATRIZ PINARDEL","ao0033022101"
"Ivan Americo Quinchaleo Gonzalez","ap0012995101"
"Ricardo Humberto Chamorro Otto","ap0013026831"
"Marcela Acuña Gomez","ap0013033331"
"Ricardo Riffo Chiguayante","ap0013064811"
"matias walker","ap0013198211"
"FRANCISCO EGUIGUREN CORREA","ap0013198211"
"Marcela Acuña Gomez","ap0012910171"
"Claudio Rafael Segovia Cofré","ap0012921131"
"matias walker","ap0012956761"
"Rosa Elena Renney Rodríguez","ap0012956761"
"Marcela Acuña Gomez","ap0012956761"
"Claudia Faundez Fuentes","ap0012971541"
"PABLO FRANCISCO ASTUDILLO HERNANDEZ","ap0013035741"
"Verónica Guajardo Contreras","ap0013041351"
"Juan Eduardo Delgado Castro","ap0013043741"
"Ricardo Leñam Paris","ap0013069751"
"Marcela Acuña Gomez","ap0013078911"
"Jorge Rathgeb Schifferli","ap0013198121"
"Lorenzo Leyton Arancibia","ao0053175461"
