"asistente","codigoAudiencia"
"Paul Duhart","ab01455541"
"Fernando Alejandro Verdugo Valenzuela","ab016159481"
"Alejandra Sepúlveda","ab016150781"
"Cristina Marchant","ab016150781"
"Offer Nahari","ad00849091"
"Marcelo Rubin","ad00849091"
"Luis Carlos Ahumada Castillo","ad0093841"
"Francisca Cea Besoain","ad0094421"
"JORGE MARCHANT PACHECO","ah0041169431"
"Dionisia del carmen Inayado Aguero","aj001193891"
"Marco Bello Cerro","ai004155471"
"Alejandra Sepúlveda","aj001351481"
"MAURICIO HERRERA","an001142121"
"Tatiana Zunino Montabone","ao003841021"
"Fabiola del Carmen Muñoz Espinoza","ao00537221"
"Fabiola del Carmen Muñoz Espinoza","ao00547251"
"Karin Alejandra Thumann Villarroel","ao00559381"
"Nelson Basaes Valdivia","ap00139651"
"Karin Alejandra Thumann Villarroel","ao00547231"
"julio esteban sleman palma","ar004642491"
"Cristian Salvo","ar002143001"
"Maria Elena Hellman","ar002143001"
"Marcelo Neculman Segura","ar0013595581"
"Marco Antonio Leal Ruiz","au00244361"
"Patricio Edgardo Figueroa","ar004520181"
"Alejandra Sepúlveda","ar002142931"
"Cristian Andreoli Labra","as004563061"
"Cristian Andreoli Labra","as004563071"
"Cristian Andreoli Labra","as004563101"
"PAULA BALTRA","as00447351"
"ALEJANDRO FONSECA","as00447351"
"Doris Elizabeth Roa Moraga","as00457241"
"DORIS ELIZABETH ROA MORAGA","as00446881"
"Cristian Andreoli Labra","as004563081"
"HERMES PEÑA","as004563081"
"Oscar Armando Zuñiga lozano","ba00198581"
"Marco Becerra Silva","co001indh-131"
"Luis Larraín","co001indh-131"
"MARCELO MAURICIO SALAZAR POBLETE","mu233297651"
"Alberto Naudón Dell'Oro ","nr003661"
"FELIPE LEDERMANN BERNAL","nr003791"
"Natalia Aranguiz Berrios","nr003791"
"Gonzalo  Jara Vega","nr003791"
"Felipe  De la Cuadra Banderas","nr003791"
"Carolina Paz, Aranguiz Pagueguy","nr00510071"
"Guillermo Antonio, Venegas Flores","nr00510101"
"Mario, Larenas Gonzalez","nr00510171"
"Juan carlos, Marilaf Quesada","nr00510201"
"Rodrigo Javier, Villouta Olivares","nr00510441"
"Jaime, Saldias Perez","nr00510461"
"Luis , Hernández Vega","nr00510541"
"Claudio, Urrutia","nr00510551"
"Gustavo Eduardo, Quiroz Rojas","nr00510581"
"Jose, Oses","nr00510581"
"Felipe, Del Solar Agüero","nr00510781"
"Rodrigo Javier, Villouta Olivares","nr00510831"
"Marcos, Cvjetkovic Muñoz","nr00510851"
"Bernardita, Mazo Meza","nr00510851"
"María Loreto, Castellón Zirpel","nr00510861"
"José Manuel, Zambra Aguilera","nr00511501"
"Pablo García Silva","nr003541"
"Alberto Naudón Dell'Oro","nr003541"
"Jose Manuel Gonzalez-Paramo  Martínez-Murillo  ","nr003541"
"Pablo  Mattar Oyarzún","nr003671"
"GUILLERMO LUIS ACUÑA SBOCCIA","nr003671"
"Alberto Naudón Dell'Oro","nr003681"
"ESTEBAN PABLO, SEGUEL TORO","nr00510601"
"Andrés Cristian, Briceño Sedano","nr00510601"
"Marcos, Cvjetkovic Muñoz","nr00510681"
"Bernardita, Mazo Meza","nr00510681"
"marioly, ordenes olate","nr00510911"
"Felipe, Del Solar Agüero","nr00510941"
"Felipe, Del Solar Agüero","nr00511261"
"Juan carlos, Marilaf Quesada","nr00512411"
"Miguel Fuentes Díaz","nr003641"
"MARCO ANTONIO, VERA GORNALL","nr00510111"
"Guillermo Antonio, Jimenez Henriquez","nr00510111"
"Manuel, Araya","nr00510191"
"Natalio, Dorfman","nr00510241"
"Ana María, Zaldivar Palma","nr00510401"
"Natalio, Dorfman","nr00510471"
"José , Mazzo Jaque","nr00510561"
"margarita, paredes","nr00510901"
"SERGIO, VALDES","nr00511091"
"Natalio, Dorfman","nr00511251"
"Bernardita, Mazo Meza","nr00511301"
"Victor, Hidalgo Verdejo","nr00511341"
"Natalio, Dorfman","nr00511461"
"Francisco Gajardo","un005051"
"Max, Aguilar Belmar","nr0056061"
"Felipe, Del Solar Agüero","nr0056651"
"Juan Pablo, Schaeffer Fabres","nr0056871"
