"asistente","codigoAudiencia"
"Sandra Ugarte Solorza","ab0023428231"
"FRANCISCO OLAVARRIA","ab0023428231"
"MIGUEL RICARDO TRONCOSO GUZMÁN","ab0093400131"
"SANDRA LORETO MARIN CHEUQUELAF","ab0123565981"
"Branco Papic Ayerdi","ab0133513881"
"Nelson Rodrigo Orellana Urzúa","ab0023574681"
"Claudio Opazo Fernandez","ab0043525901"
"Rodrigo Andrés Díaz Guzmán","ab0063429621"
"Luis Benvenuto","ab0083368641"
"FRANCISCO PINO CACERES","ab0023416451"
"Tamara Malbrich Roberts","ab0023471701"
"Abel Rubén Painefilo Barriga","ab0023576441"
"Adolfo Millabur Ñancuil","ab0023576441"
"Manuel Domingo Painiqueo Tragnolao","ab0023576441"
"ROSA AMELIA CARCAMO NORAMBUENA","ab0153587791"
"Pedro Pablo Ogaz Becerra","ab0163460581"
"Percy Marín Vera","ab0183547991"
"María Carolina Corti Badía","ab0183547991"
"Ana Soraya Roa Peña","ab0193473241"
"mauricio Andrades","ab0193532111"
"ALFREDO MENESES","ab0193636521"
"Sibyla Epp Sanchez","ab0193636521"
"María Violeta Silva Cajas","ab0183537161"
"Rodrigo Andrés Canales Alarcón","ab0193637231"
"Luis Benvenuto","ab0263379571"
"Enrique Ahumada Jara","ad0083496881"
"Mauricio Alarcón Guzmán","ab0193532141"
"Celia Ivelice Aguilar Sanchez","ab0193532211"
"Diego Alfaro Hoseizen","ab0193532211"
"NIEVES DEL CARMEN MONTERO VEGA","ab0513426211"
"guillermo farías","ab0813641041"
"María Paulina Jaramillo Vergara","ab0933480041"
"Fuad Chahin Valenzuela.","ad0223365881"
"María Francisca Dussaillant Lehmann","ae0013382881"
"Gonzalo Cavada Charles","ae0013421761"
"Luis Opazo Roco","ae0013495651"
"Tte. Coronel Sr. José Luis Pincheira Gutiérrez","ad00947631"
"Coronel Sr. Fernando Bywaters Salas","ad00949361"
"Yasna Barra Mellao","ab0543626701"
"Katharine Anita Zegers Rusche","ab0573849661"
"Sandra Moreno","ab0893588121"
"MAX RODRIGO ARAVENA ARELLANO","ad0213474611"
"Fuad Chahin Valenzuela.","ad0223406231"
"juan pablo espindola cid","ad0223574481"
"Roberto Olivares Cea","ad00944861"
"Marcelo Miranda Arenas","ad00945371"
"Tte. Coronel Sr. Juan Estay Diaz","ad00945371"
"Blanca Patricia Bonilla Arenas","ad00945371"
"Antonio Martínez Bousek","ad00946361"
"Rodrigo Paiva H.","ad00946791"
"Coronel Sr. Pablo Andres Silva Chamorro","ad00946791"
"Tte. Coronel (J) Sr. Gonzalo Alonso Barra Faundez","ad00946791"
"Coronel Sr. Fernando Bywaters Salas","ad00948221"
"Tte. Coronel José Luis Pincheira Gutiérrez","ad00948221"
"Coronel Sr. Fernando Bywaters Salas","ad00948921"
"Ricardo Real Ibar","ad0203435881"
"ANDREA VALERIA CERDA VÁSQUEZ","ac0023418211"
"MARCELA ARAVENA CASTILLO","ac0023418911"
"Sebastián Salas Nicolau","ac0023523801"
"ANDREA VALERIA CERDA VÁSQUEZ","ac0023559151"
"Taryn Revesz","ad0103371871"
"Christian Robinson Lucero Villarreal","ad0103545691"
"Sergio Guevara","ad0213492291"
"Rene Maximiliano Ruiz Guzman","ad0063577811"
"Gonzalo Cavada Charles","ae0013677431"
"MARCELA ARAVENA CASTILLO","ac0023418811"
"MARCELA ARAVENA CASTILLO","ac0023502271"
"Josè Luis Matamoros Ponce","ad0063413561"
"Raúl Marquez","ad0063419621"
"Juan Pablo Reyes Capurro","ad0063542861"
"Claudia Sepulveda Cabrera","ah0013487621"
"Omar Antonio Bustos Veloso","ah0013770051"
"Coronel Sr. Pablo Andres Silva Chamorro","ad00947071"
"Coronel Sr. Fernando Bywaters Salas","ad00947391"
"Tte. Coronel Sr. José Luis Pincheira Gutiérrez","ad00947391"
"Tte. Coronel (J) Sr. Gonzalo Alonso Barra Faúndez","ad00948031"
"MAURICIO BORQUEZ BUSTOS","ad0103424271"
"Juan Pablo Reyes Capurro","ad0133425351"
"Raúl Marquez","ad0133425351"
"Paulina Rojas Mandujano","ae0043544411"
"CRISTIAN MARCELO tapia fernandez","ah0023583271"
"Jimena Alarcón Castro","ah0043401251"
"Andrea Mónica Rojas Escalona","ah0043460851"
"Andrea Mónica Rojas Escalona","ah0043460871"
"José Alvarez","ah0043528361"
"flavio marcelo sandoval muñoz","ai0083445751"
"Francisco Javier Rivera Luque","ae0073381931"
"Pilar Vargas L","ai0063575171"
"Robert Orlando Massé Cea","aj0093675611"
"Sergio Troncoso Uribe","aj0093689001"
"Cristian Aguilar Hidalgo","aj0093689001"
"Margarita Ocampo","ah0043440181"
"Mario Lillo Saavedra","ah0043458961"
"Andrea Mónica Rojas Escalona","ah0043460771"
"Andrea Mónica Rojas Escalona","ah0044008631"
"CLAUDIO OBREQUE","ai0043642661"
"Vivian Arancibia Salazar","aj0093405481"
"JUANA PRADO RODRIGUEZ","aj0093548441"
"Sergio Troncoso Uribe","aj0093689011"
"Cristian Aguilar Hidalgo","aj0093689011"
"Miguel Felipe Ferrada Carrillo","aj0093731951"
"Juan Araya Allende","ae0013482271"
"Andrea Mónica Rojas Escalona","ah0043460731"
"Andrea Mónica Rojas Escalona","ah0044008591"
"Claudio Riquelme San Martin","ai0083445761"
"Tatiana Odette Inostroza Castillo","aj0013477701"
"Juan Carlos Muñoz","ah0123426651"
"Emma Schwarze T.","ah0123426651"
"Pedro Naigual Aguilar","ak0123745261"
"Aldo Vittorio Moreno Repetto","al0013466221"
