"asistente","codigoAudiencia"
"Mauricio Sleman Dahma Shedan","ad009021"
"Antuan Jury Sara","ad009021"
"Elizabeth Aguirre Avilés","ad009021"
"Israel Moris Salas Takahashi","ad009131"
"Antonio Lopez Pardo","co001indh-11"
"Juan Abdel, Sufán Catalán","nr0051071"
"Jean , Benoit","nr0051071"
"Claudia, Nuñez Peña","nr0051111"
"Cristian, Arias Filippi","nr0051111"
"Guido, Crino Tassara","nr0051201"
"Carlos, Veas Gamboa","nr0051201"
"Rodrigo, Díaz Ahumada","nr0051201"
"Bernardo, Verdejo Neira","nr0051201"
"Veronica, Tapia","nr0051221"
"Verónica, Tapia von Zerner","nr0051241"
"Jose Esteban, Ahumada Figueroa","nr0051251"
"Jaime, Cataldo","nr0051261"
"Rodrigo, Ketterer Yavar","nr0051271"
"JORGE, ROSENBLUT","nr0051281"
"DANIEL, FERNANDEZ K","nr0051281"
"Claudio, Santander Kelly","nr0051391"
"Hernan, HERRERA","nr0051181"
"Alejandro, Hasbun","nr0051181"
"Rodrigo, Ketterer Yavar","nr0051181"
"Eduardo, Escalona","nr0051181"
"Ernesto, Tironi","nr0051191"
"jose luis , pacheco poragallo","nr0051211"
"Jaime, Errázuriz Montes","nr0051231"
"Lisette, Allende Navarrete","nr0051231"
"Jorge , Guzmán Weston","nr0051291"
"Héctor, Sandoval Gallegos","nr0051301"
"PABLO, LABRA GAJARDO","nr0051311"
"BENJAMIN, SILVA","nr0051001"
"Maximiliano Esteban, Bello Maldonado","nr0051321"
"Jeannette, Von Wolfersdorff","nr0051341"
"Roberto, Peralta","nr0051341"
"Francisco, Solis Germani","nr0051341"
"PATRICIO, CRESPO URETA","nr0051361"
"manuel, larraín riesco","nr0051491"
"LUIS RAFAEL, PARDO SAÍNZ","nr005661"
"EMILIO , SORIA CESPEDES","nr005671"
"Sebastian, Ugarte Astaburuaga","nr005731"
"Jorge, Camus Ibañez","nr005731"
"JAIME, QUILAQUEO BUSTOS","nr005781"
"ELVIS, RIOS","nr005781"
"KLERIA, ORMEÑO GAVILAN","nr005781"
"LORETO, RUBIO MORALES","nr005781"
"MARIA TERESA, SIERNA","nr005781"
"LUIS, ALMENDRAS PEREZ","nr005781"
"KLERIA, ORMEÑO GAVILAN","nr005781"
"juan pablo, martinez","nr005861"
"Felipe, Barrueto Avalos","nr005891"
"Felipe, Del Solar Agüero","nr005891"
"Frederik, Evendt","nr005891"
"Francisco, Benavides Duarte","nr005931"
"Erwin, Reyes Gonzalez","nr005931"
"Edith, Toledo Lillo","nr005931"
"Carlos, Cardenas Almonacid","nr005931"
"Felipe, Porflit Gutiérrez","nr005951"
"Alejandra, Schueftan","nr005951"
"Benjamin, Silva","nr005691"
"Felipe, Del Solar Agüero","nr005701"
"PATRICIA, SCHAULSOHN BRODSKY","nr005851"
"MARIO, WAISSBLTH","nr005851"
"Roberto Isaias, Burgos Viveros","nr005681"
"Leonidas Ismael, Flores Suazo","nr005681"
"Juan Carlos, San Martin Arriagada","nr005681"
"Guillermo Antonio, Venegas Flores","nr005681"
"Claudio, Plaza Arroyo","nr005681"
"Jose Teodoro, Gutierrez Bermedo","nr005681"
"Eduardo Rodrigo, Elgueta Paz","nr005721"
"José Antonio, Salazar Fernández","nr005721"
"Raul, Morales Lartiga","nr005741"
"Luis, Morales Fernandez","nr005741"
"Jaime, Saldias Perez","nr005741"
"Patricia, Cifuentes Muñoz","nr005741"
"Jaime, Foreman Cordova","nr005741"
"Pedro, Salazar Herrera","nr005741"
"Pedro, Rodriguez Contreras","nr005741"
"Raul , Morales Lartiga","nr005741"
"Gonzalo, De la Carrera","nr005771"
"PATRICIA, SCHAULSOHN BRODSKY","nr005791"
"MARIBEL DEL CARMEN, VÁSQUEZ FIGUEROA","nr005841"
"NORA ANGÉLICA, GUZMÁN OBREQUE","nr005841"
"GASTÓN GABRIEL, LAZO TORRES","nr005841"
"angela, carmona","nr005871"
"elicena, lopez","nr005871"
"sergio, martinic","nr005871"
"paulina, nagel","nr005871"
"Maria Angelica, Ampuero Valderas","nr005921"
