"asistente","codigoAudiencia"
"Isabel Maureira Alvarado","ao0051778251"
"Isabel Maureira Alvarado","ao0051780181"
"Isabel Maureira Alvarado","ao0051947811"
"Marco Figueroa","ao0031780411"
"jorge Valenzuela Caselli","ao0031780531"
"YERKO JAVIER SAEZ GUAJARDO","ao0171662841"
"JACQUELIN CARMEN ARANDA TAPIA","ao0201609581"
"PAULINA INES PEREZ OYARCE","ao0201719911"
"Rene Caceres Araya","ap0022166851"
"RODRIGO ALBERTO RAMIREZ PARRA","ap0091515971"
"Heber Ronald Rickenberg Torrejon","ao0321638571"
"Daniela Montes","ao0321638571"
"FAVIO DAVID SALGUERO IPINZA","ap0071673131"
"LUCRECIA ADRIANA FLORES RODRIGUEZ","ap0101606941"
"Verónica Loreto Del Carmen Espinoza Páez","ap0171692351"
"Andrea Borrero Pardo","aq0011592551"
"Doris Valdivia Monsalve","ap0081550921"
"Fernando Mauricio Rojas Ríos","ap0081644251"
"Domingo Enrique Leiva Mena","ap0091728481"
"Mauricio Contreras Sanchez","ap0111576381"
"Fernando Paredes Gonzalez","ap0111593501"
"Eduvina Beatriz Unda Araya","ap0101637841"
"Alvaro Ruiz Ruiz","ap0101765141"
"Fuad Chahin Valenzuela.","aq0011541441"
"Fuad Chahin Valenzuela.","aq0011541451"
"ROSAMARIA SOLAR","aq0011643041"
"Fabio Stingo Camus","aq0011703451"
"David Toloza","ap0111540711"
"Fernando Paredes Gonzalez","ap0111548741"
"Juan Eduardo Delgado Castro","ap0111554861"
"Fernando Paredes Gonzalez","ap0111575471"
"JORGE IVÁN CANTALLOPTS ARAYA","as0011511741"
"Mario Del Carpio","as0011598001"
"Felipe Alfonso Curia Miranda","as0011598001"
"Patricio Eduardo Díaz Ríos","as0011598001"
"Edgardo Percy Gutierrez Coloma","as0011599661"
"Jose Luis Alvarez Andrades","ar0021569931"
"Doris Elizabeth Roa Moraga","as0011555611"
"Felipe Alfonso Curia Miranda","as0011555611"
"Verónica Esperanza Bravari Rodriguez","as0011597791"
"Fermin Carreño Carreño","ap0081572451"
"Rolando Fuentes","ap0091582241"
"Rodrigo Ruiz-tagle Aguiló","ar0031994991"
"Verónica Esperanza Bravari Rodriguez","ar0031995031"
"Fernando Paredes Gonzalez","ap0111507941"
"Rodrigo Urra Escobar","ap0111588931"
"Susana Ximena Aguilera Vega","ap0111691691"
"Fernando Paredes Gonzalez","ap0111695081"
"Doris Elizabeth Roa Moraga","as0041521971"
"Miguel Donoso","as0041598401"
"Miguel Donoso","as0041598411"
"Doris Elizabeth Roa Moraga","as0041606581"
"Luis Gutierrez","as0041638811"
"Jorge Antonio Goméz Rojas","as0041639171"
"Doris Elizabeth Roa Moraga","as0041718311"
"Antonieta Donoso Palominos","as0041718561"
"Doris Elizabeth Roa Moraga","as0041719891"
"Alejandro Rodrigo Pedreros Urrutia","ap0101550651"
"Juan Carlos Manríquez Vidal","ap0101765271"
"victor Dias Obando","ap0101765271"
"TOMAS COFRE","aq0011594371"
