"asistente","codigoAudiencia"
"RICARDO ARRIAGADA VICENCIO","ab0131190631"
"Guillermo Turner","ab0011205501"
"Erwin Hernán Rosas Alarcón","ab0141135601"
"guillermo perez","ab0191096121"
"RICARDO PEREZ   TIRAPEGUI","ab0191191611"
"Teniente Coronel Sr. Pablo Andrés Silva Chamorro","ad00914401"
"Elizabeth de Lourdes Aguirre Avilés","ad00914781"
"Teniente Coronel Sr. Luis Humberto Rozas Mardones","ad00915001"
"Cristóbal José Artigas Sapiain","ad00915821"
"Coronel Sr. Álvaro Arístides Galindo González","ad00917371"
"Coronel Sr. Patricio Haroldo Carrasco Gesche","ad00915151"
"Suboficial Mayor (A.A) Sr. Sergio Hermógenes Aguilera Peña","ad00915351"
"Álvaro Andrés Peñaloza Sacco","ad00916641"
"Teniente Coronel Sr. Juan Arturo Narbona Ossandón","ad00917271"
"Hernán Marcelo Arancibia Rodríguez","ad00917361"
"Suboficial Sr. Eduardo Segundo Ossandón Duarte","ad00914261"
"Coronel Sr. Patricio Haroldo Carrasco Gesche","ad00914761"
"Ricardo Alfredo Schnettle Muñoz","ad00915561"
"Marión Alejandra Figueroa Ketterer","ad00916771"
"Cecil Davidson Tolg","ad0201199801"
"Mauricio Andrés Guerra Espinosa","ad0061212131"
"Adriana Elgueta Aucapan","ah0021241071"
"Christian Lucero Villarreal","ad0101186011"
"Cecil Davidson Tolg","ad0201404531"
"Gonzalo Morales Ramirez","ad0081172431"
"Jessica Pinilla Tapia","ah0041153611"
"JORGE OSCAR ORTEGA VIDAL","ah0081194921"
"Carlos Marcelo Prado Dubó","aj0011246211"
"Carlos Marcelo Prado Dubó","aj0011256811"
"Jessica Pinilla Tapia","ai0081139051"
"Carlos Marcelo Prado Dubó","aj0011213641"
"Mauricio Mejías","aj0101180321"
"Marcos Vivas","ae0061180561"
"Mariella Alejandra Valdes Avila","ag0011163111"
"Marcos Rebolledo","ah0011152271"
"Leopoldo  Sanchez Avila","ah0011330031"
"Patricia Clara Pérez Zamorano","ah0041208011"
"Claudio Torres  Romero","ah0041210451"
"Marisel del Carmen Quintana Geraldo","ah0121126771"
"Marcela Claudia Maldonado Barrera","ah0121134611"
"Osvaldo Soto","ae0071136421"
"Hernan Santibáñez","ae0071220881"
"Pedro Miguel Contador Abraham","al0021185681"
"Roberto Pablo Barraza Saavedra","al0021259731"
"Carlos Alejandro Hernández López","ak0021906131"
"JORGE OSCAR ORTEGA VIDAL","ah0121192201"
"Gonzalo Diaz","al0031174101"
"Eduardo Bermúdez Romero","ak0021887821"
"Pamela Gana","al0091088601"
"Pamela Gana","al0091259841"
"Lily Alcaino","al0091329411"
"PAULA BARROS MCINTOSH","aj0031242121"
"XIMENA VIDAL","aj0091107071"
"Juan Silva Tapia","am0011115811"
"Diego  Aedo Rodriguez ","am0131156391"
"MARILIA RODRIGUES","an0011195301"
"MYRTHA CARMEN PERALTA  VEGAS","an0011204291"
"Elvis Leandro Venegas Abarca","an0011216491"
"JOSE IGNACIO BARTOLOME CECCHI","an0011443851"
"Marisel del Carmen Quintana Geraldo","ah0121126751"
"Pamela Gana","al0021259671"
"Sergio León C.","an0031135341"
"Elba Cano Quezada","ao0011213981"
"Fabiola del Carmen Muñoz Espinoza","ao0051117321"
"Sebastian Eugenio Miranda Hiriart","ao0011145111"
"Nancy Aburto Castillo","ao0011221731"
"Pamela Gonzalez Petersen","ao0051232131"
"Fabiola del Carmen Muñoz Espinoza","ao0051117211"
