"asistente","codigoAudiencia"
"JUAN ANDRÉS TRONCOSO MORALES","ab0014276871"
"Carlos Cruz-Coke","aa0014282151"
"Ricardo Olmos Soto","ab0014263461"
"Juan Eduardo Delgado Castro","ab0024259361"
"Hugo Vicente Zenteno Vasquez","ab0184237891"
"DAVINA CAMPUSANO ALVARADO","ad0224256631"
"Juan Luis Ossa Valencia","ad00964811"
"Francisco Miranda","ad00964181"
"Percy Marín Vera","ab0184256251"
"Luis Oscar Chicuy Godoy","ad0234250511"
"Rodrigo Antonio Maureira González","ae0064270351"
"CRISTIAN CORTES","ae0064274321"
"Gabriel Flandez Borquez","ae0014248021"
"Claudio Muñoz Cáceres","ad00965101"
"Carolina Oliu","ah0024377491"
"holger paulmann","ae0014245561"
"Jose Miguel Arellano Merino","ae0014248011"
"Jose Miguel Arellano Merino","ah0094262811"
"Claudia Peirano","aj0014246661"
"Silvia Céspedes Gutiérrez","aj0014246881"
"Jorge Robinson Bozo Godoy","aj0014246881"
"Liliana Del Carmen Figueroa Ortiz","aj0014272501"
"Nancy Victoria Guzmán Celsi","aj0174270381"
"Roxana Andrea De Las Mercedes Aravena Navarrete","aj0224246101"
"Roxana Andrea De Las Mercedes Aravena Navarrete","aj0224267471"
"José Rafael Valdivieso Rebolledo","aj0114237021"
"Luis Cañas","aj0114237021"
"Misleya Vergara Muñoz","aj0214255501"
"Monica Emilia Hueichaqueo Epulef","ak0014258011"
"Jacqueline Riquelme","aj0104248851"
"Rosa Espinoza","aj0104272131"
"Fanny Araya Villalobos","aj0104272131"
"irma cortes pontigo","aj0104272131"
"Carolina Alejandra Leyton Faúndez","aj0124275951"
"María Cristina Bernardita Cid Cartes","aj0124275971"
"Carolina Alejandra Leyton Faúndez","aj0124275971"
"Sebastián Eugenio Miranda Hiriart","aj0184292221"
"ELVIRA CABRERA RAVELO","aj0014228111"
"CARLOS JOSÉ CORREA HENRIQUEZ","aj0014244891"
"Ricardo Humberto Chamorro Otto","am0074242171"
"Carolina del Pilar Carrasco Romero","am0074325231"
"MARIO MARTINEZ","am0104268961"
"JOSÉ ANDRÉS BARTOLO VINAYA","am0014379101"
"Godfrey Sanchez","am0014379101"
"Milo Millán Romero","am0024284501"
"Ivonne Marchant Liberona","am0024284501"
"Jaime Andres Huidobro Medel","am0024284501"
"KAETHE DAULSBERG","aj0014253811"
"Rodrigo Diaz","aj0014264061"
"Carlos Alberto Gómez Allel","al0044282711"
"Alicia María Paz Laura Poblete","ao0014283151"
"Mauricio Alarcón Guzmán","am0014282871"
"Jaime Andres Huidobro Medel","am0024284471"
"Carolina Paz Lobos Carreño","ao0054232611"
"Edgardo Gonzalez Fuenzalida","ao0234331851"
"SERGIO C CORREA BENGOCHEA","ao0064264021"
"Rodolfo Vargas","ao0014238461"
"María_Paz Grandón Sandoval","ao0014238461"
"María_Paz Grandón Sandoval","ao0014238471"
"GONZALO ACEITUNO ARTETA","ap0014231031"
"Marlene Pamela Jadell Echague","ap0014286631"
"Marcela Acuña Gomez","ap0014287751"
"Jorge Arturo Yunge Willams","ap0094253951"
"Paulo Duarte","ap0094253951"
"Jorge Henrique Brito Nachanu","ap0104283871"
"Thomas Ludwig Müller Esparza","ap0034255661"
"Mauricio Mellado Chamblas","ap0104280831"
"Mauricio Osorio Fuentes","ao0074250001"
"VICTOR MURNA CORTES","aq0014240381"
"Karina castillo","aq0014388531"
"Angela María Prado Concha","ap0014269811"
"Pablo Swinburn","ar0014258491"
"Pablo Swinburn","ar0014258501"
"Paulo Duarte","ap0094283041"
"Jorge Arturo Yunge Willams","ap0094283041"
"Rolando Héctor Lorca Silva","aq0014282561"
"Paola Covarrubias Urbano","aw0024364751"
"Antonio Alejandro Sánchez Squella","au0024277301"
"OLGA ALFARO TOLEDO","as0044256571"
