"codigoEmpLobby","empresaLobby","codigoActivo","activo","tipoActivo","codigoAudiencia"
"762564688r","Estudio de Diseño Fuica Ltda.","744535590787d4f09f41b36527b7e2ed","Fernando Bórquez","Gestor","mu3414065111"
"692201000r","ILUSTRE MUNICIPALIDAD DE PUERTO MONTT","9a351ad43155869acf1284774691ec1f","richard ruiz","Lobista","aw0024052031"
"715401002r","Universidad Andres Bello","fd4ff5623cabad32320c172aafc23b7f","Alexis Antonio Villagrán Durán","Gestor","ao1094100161"
"715401002r","Universidad Andres Bello","f2052b639c5ccffba297c211e2941fa5","Marian Jaimes","Lobista","ao1094100161"
"757061007r","Asociación Gremial Dueños de Taxibuses Urbanos Línea 1","7a8da9299aa0de90861b59a82fd19d60","JuanAlberto Castillo","Lobista","au0024055801"
"767963602r","Clínica de la Mujer Sanatorio Alemán S.A.","d3c726fd160db13ba2670a0bd72b48fa","Valeska Julie Muñoz Ramírez","Lobista","mu0614061911"
"779042405r","DSS S.A.","c27e18705cc23736bcfe732f9f08125e","Juan Ignacio Arellano","Gestor","aw0024052191"
"965798005r","Empresa de Servicios Sanitarios de Los Lagos S.A.","bc3ac06e016f68cf84b68bfe61dedf80","marcelo cofre baeza","Lobista","aw0024052191"
"965798005r","Empresa de Servicios Sanitarios de Los Lagos S.A.","353ce1a0e733b38f650b78736edabc79","Beyssi Jofré Sotomayor","Lobista","aw0024052191"
"965798005r","Empresa de Servicios Sanitarios de Los Lagos S.A.","dcb4e638f2d84f2f9c20bfc81a1b7316","CRISTIAN VELASQUEZ AZOCAR","Lobista","aw0024052191"
"592142406r","ADP INGENIERIE AGENCIA EN CHILE","9af4c5744cb1245425ff80ad42443daf","Fabricio Ezequiel Perez Broneske","Gestor","am0043120821"
"65149088kr","CORPORACIÓN EDUCAACIONAL PABLO DE TARSO","360593c722bd521ea3e60a485e490151","Raquel Evelyn Peña Saldías","Gestor","aj0013148371"
"ff7c88f6822a558ae1ac760794de6f17","S/I","080900aaa99897de0fa6f0547164a75c","RENÉ EDUARDO CABEZAS PINO","Gestor","nr00297551"
"ff7c88f6822a558ae1ac760794de6f17","S/I","15d59d64ed9ee871371be07268144615","PAULINA ORTUÑO FARIÑA","Gestor","nr00297241"
"ff7c88f6822a558ae1ac760794de6f17","S/I","176f236459129f05d5cc464a013e24cb","JAVIER OSVALDO CACERES SOTO","Gestor","nr00291501"
"ff7c88f6822a558ae1ac760794de6f17","S/I","27adb4d0c1d0c6f441f74fc3ae87c41f","PATRICIO  ZAPATA VALENZUELA","Gestor","nr00297261"
"ff7c88f6822a558ae1ac760794de6f17","S/I","3656e616929e3bc80753cd656a1bcb4f","Héctor Gregory Inostroza Silva","Gestor","nr00292981"
"ff7c88f6822a558ae1ac760794de6f17","S/I","4a391dff427a0aa18ca4ebe5c6063d40","ROSA MARIA COHAYLA PARDO","Gestor","nr00296711"
"ff7c88f6822a558ae1ac760794de6f17","S/I","65dd09e0fdd8d87c26b53c7644d6b9c2","GLADYS LORENA TORRES GARRIDO","Gestor","nr00295611"
"ff7c88f6822a558ae1ac760794de6f17","S/I","69bdeef9343ed0b59d4f204af9b74521","ARTURO ZUÑIGA DIAZ","Gestor","nr00295641"
"ff7c88f6822a558ae1ac760794de6f17","S/I","735a2442ddd2f282555c7850145d5db5","PABLO IVAN SAGAL SANDOVAL","Gestor","nr00289181"
"ff7c88f6822a558ae1ac760794de6f17","S/I","9846e5e909fd9c8a87732f3e0e510387","JAVIER ALEJANDRO OJEDA  OJEDA","Gestor","nr00290791"
"ff7c88f6822a558ae1ac760794de6f17","S/I","afe0f64c3538915c0347fa5e9835833f","CRISTIAN ALEJANDRO VERA GONZÁLEZ","Gestor","nr00296101"
"ff7c88f6822a558ae1ac760794de6f17","S/I","ca5c86b9c603accebedb364d13b7862c","MAURICIO RÍOS LAVADO","Gestor","nr00296281"
"ff7c88f6822a558ae1ac760794de6f17","S/I","cbe105ba83e5736d9b4717c91b0df5ba","MARIA PILAR  ALCANTARA PEÑA","Gestor","nr00296091"
"ff7c88f6822a558ae1ac760794de6f17","S/I","ce7e51170ab424996a5424d72e431c7f","MARGARITA  SUBIABRE MANCILLA","Gestor","nr00293921"
"ff7c88f6822a558ae1ac760794de6f17","S/I","d2a446ad871ac1f75cafa609d47405de","PABLO MARDONES HENNICKE","Gestor","nr00295821"
"ff7c88f6822a558ae1ac760794de6f17","S/I","dd574d6ede457b2488a22e4de0a9d724","FABIÁN  SILVA ARRIMADAS","Gestor","nr00296341"
"ff7c88f6822a558ae1ac760794de6f17","S/I","f3e53511eb3da82c9ef7da8723e68edb","MARIA PAZ  DROGUETT  LIZAMA ","Gestor","nr00294931"
"ff7c88f6822a558ae1ac760794de6f17","S/I","1dbc111badb939cd9ffe803cb95b8674","Vilma Ester Millaleo Vasquez","Gestor","nr00294451"
"ff7c88f6822a558ae1ac760794de6f17","S/I","2645f172c3868a8003a8aad680ce1674","Miguel Becker Alvear","Gestor","nr00297451"
"ff7c88f6822a558ae1ac760794de6f17","S/I","a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","Gestor","nr00294081"
"ff7c88f6822a558ae1ac760794de6f17","S/I","a9010876c0285c5401734b3a9f5da72a","Rodrigo Alejandro Castillo Murillo","Gestor","nr00295851"
"ff7c88f6822a558ae1ac760794de6f17","S/I","c4bd3370f097dee9f59d94bfb3b36c68","Rodrigo Toro Mancilla","Gestor","nr00298721"
"ff7c88f6822a558ae1ac760794de6f17","S/I","d9a641f0d7fef7a9b340b2cc15aef986","Aldo Salvador Valle Acevedo","Gestor","nr00293141"
"ff7c88f6822a558ae1ac760794de6f17","S/I","e6f7ec1c95d19b79593fe51922685023","Patricia Vasquea","Gestor","nr00294861"
"ff7c88f6822a558ae1ac760794de6f17","S/I","f3613026f822f26d0abe63fe01bb24eb","Nicolás Sánchez López","Gestor","nr00295231"
"ff7c88f6822a558ae1ac760794de6f17","S/I","146670e06e1dff520dfe36233e0775ef","NICOL FURNIEL MONDACA","Gestor","nr00292471"
"ff7c88f6822a558ae1ac760794de6f17","S/I","57c3ce11090b2ac9ee2fe6eaca5e2d19","María Bernarda Zuñiga Gómez","Gestor","nr00296951"
"ff7c88f6822a558ae1ac760794de6f17","S/I","61892019c9ca2efaec057aa07d782a36","Francisco Torres Valderrama","Gestor","nr00292841"
"ff7c88f6822a558ae1ac760794de6f17","S/I","61892019c9ca2efaec057aa07d782a36","Francisco Torres Valderrama","Gestor","nr00296561"
"ff7c88f6822a558ae1ac760794de6f17","S/I","683306bbda9d033b1d9308d31c0fc6ad","EMMANUEL TEBES CACERES","Gestor","nr00295801"
"ff7c88f6822a558ae1ac760794de6f17","S/I","769f5f177eeb25c0dd8c90ac7fe14b22","JORGE CARVAJAL URZUA","Gestor","nr00291761"
"ff7c88f6822a558ae1ac760794de6f17","S/I","dd557e03384a8115376998d26913f4e8","christian gonzalez","Gestor","nr00299131"
"ff7c88f6822a558ae1ac760794de6f17","S/I","3952f61ea03184ca4835145c6b0c74f6","CONSTANZA GAZMURI ITURRIAGA","Gestor","nr00294201"
"ff7c88f6822a558ae1ac760794de6f17","S/I","440f2a1b32ba7ea3320013142d4662f7","CAROLINA  GUERRA  SANCHEZ","Gestor","nr00295081"
"ff7c88f6822a558ae1ac760794de6f17","S/I","a469eea87cb5277d40cfd0da0a590956","KAREN  VASQUEZ  VEGA","Gestor","nr00293821"
"ff7c88f6822a558ae1ac760794de6f17","S/I","09eea7ab35924fbbe15206f80aae140c","NORMA AROS ROJAS","Gestor","nr00291871"
"ff7c88f6822a558ae1ac760794de6f17","S/I","0f874786310ee6eac79a36ae754b7e5d","GONZALO PARADA ZUÑIGA","Gestor","nr00291371"
"ff7c88f6822a558ae1ac760794de6f17","S/I","15519a69066bcedd9f209cbbcca2ef15","Niletta Carolina Reyes Juica","Gestor","nr00294531"
"ff7c88f6822a558ae1ac760794de6f17","S/I","1813d96ce95763825ecf0f4787165cc1","BERNARDITA  MERA PÉREZ","Gestor","nr00291171"
"ff7c88f6822a558ae1ac760794de6f17","S/I","1bc17f228c98c310c07e75c59a4a9af9","SOFIA  CHURA UNTOJA","Gestor","nr00294871"
"ff7c88f6822a558ae1ac760794de6f17","S/I","23c6d5ba09b0f64029b4d0846d839163","DANIEL LARA PARRA","Gestor","nr00292831"
