"codigoEmpLobby","empresaLobby","codigoActivo","activo","tipoActivo","codigoAudiencia"
"651526868r","Fundación AYLA","08a7886e56bf695078552f732d43507a","Camilo Andres Caro Zuñiga","Gestor","mu3324063921"
"764183347r","Empresa Tecnotrack Spa","2010a5a7c39e45de93b4e0cdc23d0fb0","Alejandro Morgado Cardani","Gestor","mu2314097501"
"768635323r","Debmedia Chile SPA","9d9b805cf86cdb8b89648d3fbadb6e58","Iván Leopoldo Córdova Tapia","Gestor","ao0094105151"
"771030300r","encare ltda","3265c74a5af86476c721afd8ab534c2c","alejandro plaza","Gestor","am0064061031"
"650505573r","Organización No Gubernamental de Desarrollo La Ruta Solar","926a30223861458202525cd58fd2487e","Mauricio Zanotti","Gestor","au0024055561"
"650626664r","Corporación Puelo Patagonia","846eefc0a859729937f013198a74f27a","JOSEFINA VIGOUROUX ORREGO","Gestor","aw0024052731"
"650626664r","Corporación Puelo Patagonia","5b3097b42b8d94cb82b239f083f5057c","Andres Diez Prat","Gestor","aw0024052731"
"650767780r","FUNDACION EDUCACIONAL LICEO SAN JOSE DE REQUINOA","56e7469868cd4559bc2768b9e45ec99f","Ignacio Faúndez Figueroa","Gestor","mu2194100761"
"700149005r","Sonapesca","a445eed5f1a601e73888b9ccc6ccab7c","Osciel VelásquezHernández","Gestor","ai0084049491"
"700726002r","JUNJI","3d9daadd1f213f0ff0bd548775c55fb4","FELISA ORTIZ","Gestor","aj0104053451"
"707154004r","Corporación De Ayuda Al Niño Quemado","1d76a94c26ab5c0adfa6ce593d08eb43","Maria Celeste Robles","Gestor","mu1124046101"
"708395005r","Junta de Vigilancia III sección Río Aconcagua","ab29afdb3504d104db2e10c1ba79526f","SANTIAGO PATRICIO MATTA MIRANDA","Gestor","am0014045151"
"716393003r","UNIVERSIDAD DE ACONCAGUA","89fbfba9179e4443d1cc1b6aa5cad0d2","Mauricio Ramón Rebolledo Sagredo","Gestor","au0044054951"
"761013378r","Constructora Marcelo Enrique Penna Morgado E.I.R.L","2a9fc0ccd9a7fec6f119c493bc16323c","Marcelo Enrique Penna Morgado","Gestor","mu3354081821"
"761097792r","Melón S.A.","3d21ba7e90e61f25f30f273ffbaf78d7","Ricardo Pareja Soto","Gestor","aw0024056261"
"763186822r","Publico Comunicaciones Limitada","0cbb1e9dbe73b69610b0db9162e41657","Paula Castillo","Lobista","ai0084049461"
"763373010r","","f359bc041e169fed3aab682bf3fbb0d0","RODRIGO GERMAN ROZAS VALENCIA","Gestor","ad00951511"
"764877411r","TECHVIAL","319bffad978da968a5a3770e2c20d159","MARIO ESTRELLA","Gestor","ad00951681"
"767342152r","PRONOSTICO CONSULTORES SpA","ae4ff66a88ae040cca1ee8bd8a08f068","Claudio TorresJeria","Lobista","ad0224084651"
"777629409r","Anglo American Sur S.A.","6d11977c770849e308f5c578df88bdc9","Patricio Jaramillo Pinilla","Gestor","aw0044054581"
"777629409r","Anglo American Sur S.A.","81ed052903bb8c2029ea06b283f5a18e","Ema Martinez nUÑEZ","Gestor","aw0044054581"
"777629409r","Anglo American Sur S.A.","d46742dc42af819d0f100b242d58e4d6","MANUEL SCHELLMAN","Gestor","as0044073681"
"777629409r","Anglo American Sur S.A.","ecbb0fcc939ef129c46e76ca445de2e1","DARIO CAMPUSANO MEZA","Gestor","as0044073681"
"777629409r","Anglo American Sur S.A.","057db67850ac99601af128cf3e687fa9","Juan Antonio Sánchez Beiza","Gestor","aw0044054581"
"778780402r","Representaciones Aerotech Limitada","195d2e33470cc2904ab9ad8e48c843a2","Mathias Pairoa Correa","Gestor","aj0184050511"
"77905330kr","ANGLO AMERICAN CHILE LIMITADA","bb45b0be2c677ea5afac22e99a26643f","Rodrigo Cifuentes","Gestor","as0044073681"
"789585105r","Inmobiliaria Acacios Limitada","6a46375fb6431e47a9436a8b7d96bb02","Mario Francisco de Paula Donoso Tagle","Gestor","mu2194100761"
"789585105r","Inmobiliaria Acacios Limitada","0613fadb929f2374f4c6a16ab9030eb7","Erik Cabezas Grollmus","Gestor","mu2194100761"
"798774506r","Constructora e Inversiones Vital Ltda.","beeb0b29ce9e42e7547294d4a81e7a92","Matías Cristóbal Daneri Bascuñán","Gestor","am0134068781"
"814460002r","Sociedad Nacional de Minería F.G.","af7023d673db8204e6ffa009f0b51504","PAULINA RIQUELME PALLAMAR","Gestor","aw0024056281"
"81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","eb33830efb608553103c66d77e8e1891","Camila Ramos Castro","Lobista","aw0024056281"
"814647005r","ARCHI","8c8622d33ee8f01198155c9d1a29b3af","EDUARDO MARTINEZ","Gestor","ad00951411"
"815134001r","PRICEWATERHOUSECOOPERS CONSULTORES AUDITORES","07cb1a09de36485cd34d61dcbf1ac27c","Gonzalo Schmidt","Gestor","ae0063738911"
"967278300r","Besalco Construcciones S.A.","5dfcb510757bdfcfe5858af5230bb547","Guillermo García Cano","Gestor","am0134068781"
"968005707r","Chilectra S.A.","faa2c262c20b2916d2225fee0f012430","Gonzalo Labbe","Gestor","mu0344075851"
