"codigoEmpLobby","empresaLobby","codigoActivo","activo","tipoActivo","codigoAudiencia"
"760388068r","COMPAÑIA MINERA MARICUNGA","9804ce7ef5d475390251b6f070ad0da4","Luis Alberto Opazo Mondaca","Gestor","am0062239071"
"760388068r","COMPAÑIA MINERA MARICUNGA","9804ce7ef5d475390251b6f070ad0da4","Luis Alberto Opazo Mondaca","Gestor","am0062327811"
"760388068r","COMPAÑIA MINERA MARICUNGA","9804ce7ef5d475390251b6f070ad0da4","Luis Alberto Opazo Mondaca","Gestor","aw0032332521"
"760407259r","Agro Ingeniería EIRL","4accdc30761e0dcc56e24fe9e4d9d6e6","Jorge Andrés Sánchez Meneses","Gestor","ar0012341791"
"760418714r","ENAEX Servicios","cb566e694b008d4f2310545dd5b83837","Roxana Delgado","Gestor","ad0132561381"
"760418714r","ENAEX Servicios","cb566e694b008d4f2310545dd5b83837","Roxana Delgado","Gestor","ad0062328151"
"76042014kr","Walmart Chile S.A.","48112efe1f5e3c3b4130048e8fb19802","IsmaelBlas PerugaRetamal","Gestor","mu2322279141"
"76042014kr","Walmart Chile S.A.","48112efe1f5e3c3b4130048e8fb19802","IsmaelBlas PerugaRetamal","Gestor","mu0732280371"
"760470422r","Asesorías y Servicios BZ Naval Engineering","48d6b7d04a0850b4c330dca1eb6915a7","Javier Ovalle","Gestor","mu0572271561"
"760471038r","Gestion Regional de Medios S.A.","70b933ce311551a5ffff07169f6dcc51","Princesa Segovia","Gestor","ad0202444531"
"760471038r","Gestion Regional de Medios S.A.","70b933ce311551a5ffff07169f6dcc51","Princesa Segovia","Gestor","ad0202299781"
"760471755r","BIODIVERSA S.A.","e1711e0b4cf8881594b54b103bf94478","EDESIO CARRASCO","Gestor","aw0042216321"
"760471755r","BIODIVERSA S.A.","e1711e0b4cf8881594b54b103bf94478","EDESIO CARRASCO","Gestor","aw0042216351"
"760471755r","BIODIVERSA S.A.","e1711e0b4cf8881594b54b103bf94478","EDESIO CARRASCO","Gestor","aw0042228971"
"760471755r","BIODIVERSA S.A.","e1711e0b4cf8881594b54b103bf94478","EDESIO CARRASCO","Gestor","aw0042239811"
"76047388kr","Soluciones Tecnológicas Ltda.","255bd11fe8c482f03201ee3df4aac64f","Roberto Selmo Rosinzki Goldenstein","Gestor","ad00928511"
"76048251kr","Constructora OVAL","d97fdeda27d15c1acfabdfb7dab28bff","FAVIO DAVID SALGUERO IPINZA","Gestor","ap0072252951"
"76048251kr","Constructora OVAL","d97fdeda27d15c1acfabdfb7dab28bff","FAVIO DAVID SALGUERO IPINZA","Gestor","ap0072277461"
"76048251kr","Constructora OVAL","5b02dcdf2866baa9445e06d318e82a66","OSCAR RODRIGO VALLADARES PLAZA","Gestor","ap0072202671"
"760482862r","SERVAN E.I.R.L.","bd768f48e2f687163838eb583c4dd0db","Thomas Muller","Gestor","ap0032279251"
"760482862r","SERVAN E.I.R.L.","7e2e9f6986791667e7ccbce06a5c5d4a","ANDREA NAVARRO TORO","Gestor","ap0032279251"
"760483540r","WPD CHILE SPA.","e4cc78015a117a3f92186f70b7640df2","Diego Andrés Poblete Mella","Gestor","mu0612212411"
"760483540r","WPD CHILE SPA.","e4cc78015a117a3f92186f70b7640df2","Diego Andrés Poblete Mella","Gestor","mu3152220211"
"760483540r","WPD CHILE SPA.","809b1e42a09f67038a4e11ff16d17b58","Tomas Schröter","Gestor","aw0042314801"
"760483540r","WPD CHILE SPA.","e4cc78015a117a3f92186f70b7640df2","Diego Andrés Poblete Mella","Lobista","bb0012515921"
"760516104r","SCM Franke","86196a67dcea690608ded247636e9978","Héctor Rubén Lara Sepúlveda","Lobista","as0043173051"
"760516104r","SCM Franke","86196a67dcea690608ded247636e9978","Héctor Rubén Lara Sepúlveda","Lobista","as0043173171"
"760530476r","Plan 8","9b6c184eda13b4f77861d9fe59ffd77b","Maria Carolina Galleguillos Gonzalez","Gestor","mu2263592541"
"760530476r","Plan 8","aeead7c90dd270df8c4e0394e1c5cfd3","Claudio Enrique Cortes Bustos","Gestor","aw0042184341"
"760569143r","Entidad Patrocinante Bio Construye EIRL","3d394179a642cdda637fed728fba4d20","Olga Rosalba Osses Klein","Gestor","ap0012244131"
"760583529r","CAI Gestion Inmobiliaria","d1752107482fcc8bef7a268f0d317c3c","FRANCISCA DIAZ CRISOSTOMO","Gestor","mu2332199801"
"760583529r","CAI Gestion Inmobiliaria","acf1488e531d70339993954f6ed5847f","Miguel Angel Etcheverry Muñoz","Gestor","mu2332199801"
"760599786r","Raices Ltda","d0140bc8579924e8e114c20e46cc8dd4","ALEJANDRA CONTRERAS","Gestor","ap0012180771"
"760600105r","CONSTRUCTORA ATACAGUA S.A.","2d85fb5974f5741ab74b90c6f4558781","Mario Eduardo Leiva Fuentes","Lobista","am0072289051"
"760600105r","CONSTRUCTORA ATACAGUA S.A.","75c2f1474336dd97d3c77ecb73324c2c","Carlos Alejandro Calderon Hedberg","Lobista","am0072289051"
"760600105r","CONSTRUCTORA ATACAGUA S.A.","7bbf2792ae347fc538a8b5a97c2b7499","Victor Gustavo Valdes Pinto","Lobista","am0072289051"
"760600105r","CONSTRUCTORA ATACAGUA S.A.","dd190069f9e2231feff00b7041cad5f4","RAFAEL LEPE SALAS","Lobista","am0072289051"
"760627607r","Jorge Martabid","747b65d618206b08a44bc0c8cb697666","Isaac Fernandez Toledo","Lobista","ap0012179441"
"76064434kr","Calquin Helicopters S.A.","752a4af4015f7cdb25d4ae7131404f96","JAIME PAULOS","Gestor","ar0032547731"
"76064434kr","Calquin Helicopters S.A.","8bfd0cbdc00703261e3a74a5fa90f5c5","RODRIGO LIZASOAIN","Gestor","ar0032547731"
"76064434kr","Calquin Helicopters S.A.","c45ff48b57d89706b381dd280df5128d","Christian José Dahling Volke","Gestor","ad0202256961"
"760686778r","Inmobiliaria EBCO Avellaneda Sur S.A.","cf0151350046009e8def3a2c87f5c043","Rino Caiozzi","Gestor","ap0122282161"
"760697265r","Bravo & Compañia Consultores Asociados ltda","7652c115a1aefe9d51972e884e9f9cff","Mauricio Eduardo Bravo Soriano","Gestor","nr0037181"
"760697265r","Bravo & Compañia Consultores Asociados ltda","d7023925600947d544d8f4f65707906a","Cristobal Alexis Gellona Alvarado","Gestor","nr0037181"
"760697265r","Bravo & Compañia Consultores Asociados ltda","b9479b65dbb8ee931984c09f8ffef96b","Cristian Eduardo Bastias Obreque","Lobista","mu0352356141"
"760697265r","Bravo & Compañia Consultores Asociados ltda","d7023925600947d544d8f4f65707906a","Cristobal Alexis Gellona Alvarado","Lobista","aj0052303071"
"760719358r","Energía SpA","8d04d5d7890fa1a908aef60ace5411bd","Pedro Javier Matthei Salvo","Gestor","ap0012228381"
"760719358r","Energía SpA","8d04d5d7890fa1a908aef60ace5411bd","Pedro Javier Matthei Salvo","Gestor","aw0042188741"
"760719358r","Energía SpA","8d04d5d7890fa1a908aef60ace5411bd","Pedro Javier Matthei Salvo","Gestor","ah0012247771"
"760731625r","Saesa S.A.","42aa41c551e851da653f31c65be4c35c","daniel almonacid","Gestor","ap0122211041"
"760731625r","Saesa S.A.","1bbff75fd0efc74a67e47748a41a80d8","WALDO FORTIN","Gestor","au0022238051"
"760731625r","Saesa S.A.","8e7782a999b200aaf54e728fa2c1ea01","Francisco Allende","Gestor","au0022288691"
"760731625r","Saesa S.A.","8e7782a999b200aaf54e728fa2c1ea01","Francisco Allende","Gestor","au0022319861"
"760731625r","Saesa S.A.","9a9a597019151ffcf89dd556a59ef63e","RODRIGO NAVARRETE SEGUEL","Gestor","mu2002297971"
"760731625r","Saesa S.A.","42aa41c551e851da653f31c65be4c35c","daniel almonacid","Lobista","mu1913007261"
"760731625r","Saesa S.A.","42aa41c551e851da653f31c65be4c35c","daniel almonacid","Lobista","ap0122278951"
