"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"40f9e6618fedf7ccdda03870ea6401d0","Mauricio Sleman Dahma Shedan","http://datos.infolobby.cl/infolobby/entidad/797240605r","797240605r","Antuan Jury S.A.","ad009021","797240605r","Antuan Jury S.A.","Fabrica e importadora de ropa de trabajo, vestuario corporativo y publicitario"
"647da3de98955846801acad2dc6bbe10","MAX CORREARODRIGUEZ","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ae001441","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ASOCIACIÓN GREMIAL"
"6b66ab99597f19213207aebd1a963784","ISRAEL MORIS SALAS TAKAHASHI","http://datos.infolobby.cl/infolobby/entidad/761189069r","761189069r","Información, Tecnología y Consultoría S.A. IT GROUP","ad009131","761189069r","Información, Tecnología y Consultoría S.A. IT GROUP","Servicios Integrales de Informática"
"796376b28f4418a84f3d3c6ac71a6a78","Jorge Awad Mehech","http://datos.infolobby.cl/infolobby/entidad/814589005r","814589005r","Asociación de Bancos e Instituciones Financieras de Chile A.G.","ah001711","814589005r","Asociación de Bancos e Instituciones Financieras de Chile A.G.","S/I"
"a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","http://datos.infolobby.cl/infolobby/entidad/30666844r","30666844r","Ernesto Corona Bozzo","nr002771","720391007r","Asociación Nacional de Televisión A.G. / ANATEL","Asociación gremial que reúne a los canales chilenos de televisión abierta de alcance nacional"
"a80b37a8654c8ba4d468203dbc00b883","Cesar Alejandro Guala Catalan","http://datos.infolobby.cl/infolobby/entidad/11111111p","11111111p","future of fish","aw002981","0b7ae9a2ae30dbe30fa3ca16c770cf0d","Pew Charitable Trusts",""
"adb288785c951f06deb88f1f6bbc4a53","Luis Pedro Sanguinetti","http://datos.infolobby.cl/infolobby/entidad/909430003r","909430003r","Alcatel-Lucent de Chile S.A.","an002891","909430003r","Alcatel-Lucent de Chile S.A.","Telecomunicaciones"
"c8ebd92519ed4b5455986a98f5ecda30","María Cristina Betancour Muñoz","http://datos.infolobby.cl/infolobby/entidad/814460002r","814460002r","Sociedad Nacional de Minería F.G.","as0011081","814460002r","Sociedad Nacional de Minería F.G.","Gremio minero"
"d7d21034a8a76a47248f83a99631e917","Alvaro Merino Lacoste","http://datos.infolobby.cl/infolobby/entidad/814460002r","814460002r","Sociedad Nacional de Minería F.G.","as0011081","814460002r","Sociedad Nacional de Minería F.G.","Gremio minero"
"df2118b36de3a39a9ba8ec4c47043436","Eujenio de la Cruz Valenzuela Arriagada","http://datos.infolobby.cl/infolobby/entidad/658445707r","658445707r","Federacion  de sindicatos metro S.A.","al001361","658445707r","Federacion  de sindicatos metro S.A.","sindical"
"64af3987a13b5500eb86c6309319bf2e","Maximiliano Bello","http://datos.infolobby.cl/infolobby/entidad/111111111p","111111111p","future of fish","aw002981","52f11a7870f519cef2e4bd62543a4311","Pew Charitable Tursts",""
"6e70db79ce442f6c9dc62e2122a26120","Marta Luisa Albornoz Tapia","http://datos.infolobby.cl/infolobby/entidad/965652701r","965652701r","Distribuidora de Productos Alimenticios S.A.","al0011141","650775341r","Federacion Nacional  de Manipuladoras de Alimento"," Alimentacion"
"81494e35f410dc26d55d25dea9f5b0b5","Jorge Mass","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ae001441","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ASOCIACIÓN GREMIAL"
"81494e35f410dc26d55d25dea9f5b0b5","Jorge Mass","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ae001441","53472400r","Jorge Mas","Asociación Gremial"
"8582fb6867e82266c6cbbe590f5fb8de","Felipe Celedón Mardones","http://datos.infolobby.cl/infolobby/entidad/814460002r","814460002r","Sociedad Nacional de Minería F.G.","as0011081","814460002r","Sociedad Nacional de Minería F.G.","Gremio minero"
"8845d2c0bd70253536d844fa5b9752b3","Sergio Torreti Costa","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ae001441","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ASOCIACIÓN GREMIAL"
"0ff7013f0c17c239b7f9cb3a50c4d158","MARIA TERESA ARANA SILVA","http://datos.infolobby.cl/infolobby/entidad/74892426r","74892426r","CORPORACION CHILENA DE LA MADERA A.G.","ab001591","74892426r","CORPORACION CHILENA DE LA MADERA A.G.","Asociación Gremial"
"3141e18e9957b8f46a3638db1de8a27c","FERNANDO RAGA C.","http://datos.infolobby.cl/infolobby/entidad/6222195kr","6222195kr","CORPORACION CHILENA DE LA MADERA A.G.","ab001591","6222195kr","CORPORACION CHILENA DE LA MADERA A.G.","ASOCIACION GREMIAL"
"699602ece262e5cf7fc207736dcf0267","Eugenio Ravinet Muñoz","http://datos.infolobby.cl/infolobby/entidad/83655623r","83655623r","DESPEGAR.COM","am001791","83655623r","DESPEGAR.COM","turismo"
"699602ece262e5cf7fc207736dcf0267","Eugenio Ravinet Muñoz","http://datos.infolobby.cl/infolobby/entidad/83655623r","83655623r","DESPEGAR.COM","am001791","nnp","ENTRUST DATACARD CORP.","Tecnología"
"b3b8313b6e0aaa74eed0b09baa76c6cb","Fernando Alvear","http://datos.infolobby.cl/infolobby/entidad/700026604r","700026604r","Confederación de la Producción y del Comercio","ae001451","700026604r","Confederación de la Producción y del Comercio","Gremio Empresarial"
"8c8f6105c51d4b96964337c611cd0109","Bárbara Negrón","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6651",,,
"a0c09dc0b27c185e68f4825083e491d4","Juan Araya","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6661",,,
"a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","http://datos.infolobby.cl/infolobby/entidad/650760379r","650760379r","ASOCIACIÓN DE MUNICIPALIDADES DE CHILE (AMUCH)","nr0021311",,,
"a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","http://datos.infolobby.cl/infolobby/entidad/816692008r","816692008r","Pontificia Universidad Católica de Valparaíso","nr002591",,,
"a26806dce7582b03501d36e35f6de3e9","SinInformacion SinInformacion","http://datos.infolobby.cl/infolobby/entidad/828834002r","828834002r","COLEGIO DE TECNOLOGOS MÉDICOS DE CHILE AG","nr002471",,,
"ac4c9c9785c07c4ba05a8c28e113c72c","Luis Pardo Sáinz","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6551",,,
"d6482922e51f7337f674dce48502a90a","Claudio Ortiz Tello","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6561",,,
"dfe7a89e49e04b59b9a2906f5d086560","Mario Rojas","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6651",,,
"e2e542945e4b31c3eb2b599fbfb0e136","ANDRES NAZER VEGA","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6011",,,
"e2e542945e4b31c3eb2b599fbfb0e136","ANDRES NAZER VEGA","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6011",,,
"ea225883c0667dd53f6ddaed739b46c3","Rafael GonzálezOlivares","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6031",,,
"ee6911114e05d592065b92866609678e","Alejandro Palma Rioseco","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6031",,,
"1a3177a24c76847b69f292142a427a1e","luis ortizgonzalez","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6611",,,
