"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"8bb37c3463dd4989528ca1996556ffbb","Daniel Alejandro Muñoz Miranda","http://datos.infolobby.cl/infolobby/entidad/76454952kr","76454952kr","Lumica Iluminación Chile SpA","mu2803727811","76454952kr","Lumica Iluminación Chile SpA","Venta de Articulos electronicos e iluminación desarrollo y proyectos"
"bfc32b1d02086bb32d785fed9487da66","Patricio Illanes",,,,"mu2734356361","bfc32b1d02086bb32d785fed9487da66","Patricio Illanes",
"70347ba548d518ec92b8f508f265f09c","Carlos Gonzalez",,,,"mu0374364471","70347ba548d518ec92b8f508f265f09c","Carlos Gonzalez",
"ef50efbce81916086616e86d0b8255d8","SOFIA BAEZ HERRERA",,,,"mu3314378441","ef50efbce81916086616e86d0b8255d8","SOFIA BAEZ HERRERA",
"cd4cb2027fa3269fc91379284f3ddf0a","luis Leyton",,,,"mu2293695511","aacaad6b96830aabd28515453c084ea6","agrupación feria Horcón",""
"46b57827e7639769a98bc9aa45a9a40d","julia zuñiga",,,,"mu2293695511","aacaad6b96830aabd28515453c084ea6","agrupación feria Horcón",""
"b68599ca50b2021c434b19d37dcda485","Silvana Ulloa",,,,"mu2293695511","f70ff53898b6dff14b8124b34772497c","Agrupación feria Horcón",""
"365b8e71949470e74d446228ce478a99","Javier Esteban Ordóñez Pillancari",,,,"mu2803727821","762294486r","EcoAlliance SpA","Compra/Venta de Maquinarias, Herramientas, Proyectos de Tratamiento de Residuo, Aseo y Mantención Urbana, Energía y Servicios de Ingeniería."
"d584696f165422503a76dbbd7921e2ac","ORLANDO ESTEBAN PINO LIZANA",,,,"mu2803727811","76454952kr","Lumica Iluminación Chile SpA","Venta de Articulos electronicos e iluminación desarrollo y proyectos"
"3f266d1693d15c1b8519523ac43977b7","LEZCANO ZARATE ANA MARIA","http://datos.infolobby.cl/infolobby/entidad/ac39ad9c3608e154b34c5c5607152605","ac39ad9c3608e154b34c5c5607152605","Ana Maria Lezcano Zarate","mu313au17111","3f266d1693d15c1b8519523ac43977b7","LEZCANO ZARATE ANA MARIA",
